artist_id,artist_name
510,Green Day
112461,Fall Out Boy
243617,Panic! at the Disco
21961,Death Cab for Cutie
72176,The Postal Service
303,The Beatles
11330,Linkin Park
825,The Rolling Stones
2122,Paul McCartney
528,Reel Big Fish
815,John Lennon
501,Daft Punk
502,Dave Matthews Band
504,Dropkick Murphys
506,Eve 6
507,Everclear
946,Eminem
956,David Bowie
59036,The Black Keys
2402,Toto
